disease_name,disease_id,affected_crops,symptoms,severity,immediate_actions,preventive_measures,chemical_controls,organic_controls,seasonal_risk,spread_mechanism,notes
Leaf Rust,leaf_rust,"Wheat, Barley, Rye","Orange-brown circular pustules on upper leaf surface; yellow halos around pustules; leaves yellow and dry prematurely; pustules turn dark brown late season",severe,"Remove and destroy heavily infected leaves; improve airflow between plants; stop overhead irrigation; apply foliar fungicide if more than 5% leaf area affected","Plant resistant varieties; rotate crops every 2-3 years; plant early to avoid peak spore periods; balanced nitrogen","Propiconazole (Tilt), Tebuconazole (Folicur), Azoxystrobin (Amistar), Trifloxystrobin+Propiconazole (Stratego)","Sulfur dust or wettable sulfur; neem oil spray; potassium bicarbonate solution; copper-based fungicides","Spring through early summer; highest risk at 15-22C with leaf wetness over 6 hours","Airborne urediniospores; wind dispersal over long distances; spreads rapidly in humid conditions","Act within 7-10 days of first symptoms; late treatment rarely saves yield; monitor weekly during heading stage"
Stem Rust,stem_rust,"Wheat, Barley, Durum wheat, Triticale","Brick-red elongated pustules on stems and leaf sheaths; stems may lodge or break; pustules turn black late season; severe infection causes total crop failure",critical,"Immediately apply systemic fungicide; alert neighboring farms; contact local agricultural extension; harvest early if grain fill is complete","Resistant varieties with Sr31 and Sr38 genes; avoid late planting; destroy volunteer wheat","Tebuconazole, Propiconazole, Mancozeb+Carbendazim combinations; apply before flag leaf emergence","Copper oxychloride; sulfur-based sprays (less effective for severe outbreaks)","Late spring to early summer; Ug99 strain is highly virulent worldwide","Wind-dispersed spores; can travel thousands of kilometers; requires alternate host barberry for sexual reproduction","Ug99 race is a global biosecurity threat; notify authorities if suspected; most damaging rust disease of wheat"
Yellow Stripe Rust,stripe_rust,"Wheat, Barley, Triticale, Rye","Bright yellow-orange pustules arranged in stripes along leaf veins; leaves turn yellow then brown; young plants may die; flag leaf and ear infection causes severe yield loss",severe,"Apply fungicide immediately; this disease progresses rapidly in cool weather; prioritize treatment of flag leaf and ear","Resistant varieties with Yr genes; avoid dense planting; early sowing; monitor from tillering stage","Propiconazole, Triadimefon, Tebuconazole, Boscalid+Epoxiconazole","Sulfur sprays; potassium silicate to strengthen cell walls","Autumn and spring; thrives at 7-15C; severe in cool wet seasons","Wind-dispersed spores; survives on green tissue year-round in mild climates","Most destructive in cool highland regions; can cause 70-100% yield loss if untreated on susceptible varieties"
Powdery Mildew Wheat,powdery_mildew_wheat,"Wheat, Barley, Oats","White fluffy mycelium on upper leaf surface; lesions turn grey-brown with black dots; stunted tillers; severe infection on flag leaf and ear reduces grain filling",moderate,"Improve airflow by thinning dense canopy; avoid excess nitrogen fertilizer; apply fungicide if more than 10% of leaves affected","Resistant varieties; balanced fertilization; wider row spacing; avoid late sowing","Fenpropimorph, Spiroxamine, Tebuconazole, Metrafenone; most effective at early growth stages","Potassium bicarbonate spray; baking soda at 1 tbsp per liter with dish soap; neem oil","Spring; high humidity with warm days and cool nights; dense crops with high nitrogen","Wind-dispersed conidia; does not need free water; multiplies rapidly in warm dry conditions","Unlike most fungi powdery mildew infects in dry conditions; thrives with high nitrogen levels"
Late Blight,late_blight,"Potato, Tomato, Peppers","Water-soaked lesions on leaves turning dark brown with pale green border; white fuzzy sporulation on leaf underside; stems blacken; tubers show copper-brown rot; entire plant can collapse in 7-10 days",critical,"Remove and bag all infected tissue; do not compost; apply copper fungicide or systemic; reduce irrigation; harvest tubers early if plants dying","Certified disease-free seed; resistant varieties; avoid overhead irrigation; destroy cull piles; 3-4 week crop rotation","Mancozeb+Metalaxyl (Ridomil Gold), Cymoxanil+Mancozeb (Curzate), Fluopicolide (Profiler), copper fungicides prophylactically","Copper hydroxide spray (Kocide); Bordeaux mixture; fixed copper","Wet cool conditions 10-24C; fog-prone areas; nights below 12C with dew","Sporangia spread by wind and water splash; zoospores released in wet conditions; survives in infected tubers","Caused by Phytophthora infestans; responsible for Irish Potato Famine; one of most destructive plant diseases in history"
Early Blight,early_blight,"Tomato, Potato, Eggplant","Dark brown spots with concentric rings (target-board appearance) on older lower leaves; yellow halo around spots; defoliation from bottom up; stem lesions on seedlings; fruit lesions dark sunken with concentric rings",moderate,"Remove lower infected leaves; mulch soil to prevent spore splash; improve drainage; apply fungicide","Crop rotation 3+ years; resistant varieties; stake plants for airflow; avoid wetting foliage; remove crop debris","Chlorothalonil (Bravo), Mancozeb, Azoxystrobin, Difenoconazole; spray every 7-14 days","Copper oxychloride; neem oil; Bacillus subtilis (Serenade); compost tea; sulfur fungicide","Hot humid summer weather; stressed plants more susceptible; common late season","Conidia spread by wind and rain splash; survives on plant debris and soil","Starts on older leaves and moves up; usually appears mid-season; distinct from late blight by target-ring pattern"
Fusarium Wilt,fusarium_wilt,"Tomato, Pepper, Banana, Melon, Watermelon, Cotton","Yellowing of lower leaves first moving upward; brown vascular discoloration when stem cut crosswise; plants wilt on hot afternoons then recover overnight initially; eventual complete plant death",critical,"Remove and destroy infected plants; solarize soil; do not replant susceptible crops for 5+ years","Resistant varieties; soil solarization; crop rotation with non-host; raised beds with good drainage; avoid wounding roots","Seed treatment with Thiram or Captan; soil drench with Thiophanate-methyl; fumigation with Chloropicrin professional only","Trichoderma harzianum soil treatment; Bacillus subtilis; compost tea; mycorrhizal fungi inoculant","Warm dry seasons; survives indefinitely in soil as chlamydospores","Soil-borne; enters through roots; spreads via contaminated tools, boots, and irrigation water","No fungicide completely effective once plant infected; prevention is the only reliable strategy; soil is permanently contaminated"
Gray Leaf Spot Corn,gray_leaf_spot_corn,"Corn, Maize","Rectangular lesions bounded by leaf veins; grey to tan color; lesions run parallel to veins; severe infection causes large areas of dead leaf tissue; stalk rots often follow",severe,"Apply foliar fungicide at first sign; improve field drainage; avoid planting in low-lying areas","Resistant hybrids; crop rotation with non-host; tillage to bury residue; adequate plant spacing for airflow","Azoxystrobin (Amistar), Propiconazole (Tilt), Pyraclostrobin+Metconazole (Headline AMP)","Copper fungicides partially effective; biological fungicides with Bacillus subtilis","High humidity; warm nights above 15C; continuous corn fields with crop residue on surface","Asexual conidia spread by wind and rain; survives on corn residue; worst in minimum-till fields","Major problem in humid subtropical corn regions; can reduce yield 50% or more in severe outbreaks"
Northern Corn Leaf Blight,nclb,"Corn, Maize","Long cigar-shaped tan-gray lesions 2.5-15 cm long with wavy margins; appear first on lower leaves; severe cases affect entire plant causing premature death and stalk rots",severe,"Apply fungicide at or before tasseling if disease present on third leaf from top; manage residue","Resistant hybrids with Ht genes; crop rotation; bury residue with tillage; balanced fertilization","Azoxystrobin, Propiconazole, Pyraclostrobin, Tebuconazole; most effective when applied at tassel emergence","Copper-based fungicides moderate efficacy","Cool wet conditions 18-27C; high humidity; dew periods","Wind-borne conidia; survives on corn residue; spreads rapidly in wet weather","Reduces photosynthetic area during critical grain fill; stalk quality declines after severe infection"
Rice Blast,rice_blast,"Rice, Millet, Barley","Diamond or eye-shaped lesions on leaves with grey centre and brown border; neck rot causing white empty heads; collar rot on nodes; seedling blight; most severe disease of rice worldwide",critical,"Apply fungicide immediately; avoid excess nitrogen; drain and dry fields periodically; report to extension office","Resistant varieties; balanced nitrogen with split applications; early planting; dry direct-seeding when possible","Tricyclazole (Bean), Isoprothiolane (Fuji-One), Azoxystrobin, Propiconazole; preventive application 10 days before heading critical","Silicon soil amendments increase blast resistance; neem cake application; Trichoderma harzianum soil treatment","High humidity and nitrogen; moderate temperatures 24-28C; blast explodes when nights cool and humid","Wind and rain-dispersed conidia; survives on straw and seeds; can spread between fields rapidly","Most important rice disease globally; can destroy entire crop; panicle blast at heading is most destructive phase"
